,school_name,address,service,lat,lon
0,P.S. 015 Roberto Clemente,"333 EAST 4 STREET, MANHATTAN, NY, 10009",Community School MH,40.7219088,-73.9787369
1,P.S. 020 Anna Silver,"166 ESSEX STREET, MANHATTAN, NY, 10002",School-based Mental Health Clinic,40.7210669,-73.9864005
2,P.S. 034 Franklin D. Roosevelt,"730 EAST 12 STREET, MANHATTAN, NY, 10009",School-based Mental Health Clinic,40.7261446,-73.9750657
3,The STAR Academy - P.S.63,"121 EAST 3 STREET, MANHATTAN, NY, 10009",School-based Mental Health Clinic,40.7244069,-73.9862627
4,P.S. 064 Robert Simon,"600 EAST 6 STREET, MANHATTAN, NY, 10009",School-based Health Center w/ Mental Health,40.7238456,-73.9817633
5,P.S. 134 Henrietta Szold,"293 EAST BROADWAY, MANHATTAN, NY, 10002",School-based Mental Health Clinic,40.7142834,-73.982957
6,P.S. 140 Nathan Straus,"123 RIDGE STREET, MANHATTAN, NY, 10002",School-based Mental Health Clinic,40.7191282,-73.9832826
7,P.S. 142 Amalia Castro,"100 ATTORNEY STREET, MANHATTAN, NY, 10002",School-based Mental Health Clinic,40.7182566,-73.98401299999999
8,P.S. 184m Shuang Wen,"327 CHERRY STREET, MANHATTAN, NY, 10002",School Mental Health Specialist Program,40.7114447,-73.98548939999999
9,P.S. 188 The Island School,"442 EAST HOUSTON STREET, NEW YORK, NY, 10002",Community School MH,40.7198989,-73.9773555
10,Orchard Collegiate Academy,"220 HENRY STREET, MANHATTAN, NY, 10002",Community School MH,40.7134455,-73.9860332
11,University Neighborhood Middle School,"220 HENRY STREET, MANHATTAN, NY, 10002",School-based Health Center w/ Mental Health,40.7134455,-73.9860332
12,Neighborhood School,"121 EAST 3 STREET, MANHATTAN, NY, 10009",School-based Mental Health Clinic,40.7244069,-73.9862627
13,Earth School,"600 EAST 6 STREET, MANHATTAN, NY, 10009",School-based Health Center w/ Mental Health,40.7238456,-73.9817633
14,School for Global Leaders,"145 STANTON STREET, MANHATTAN, NY, 10002",School Mental Health Specialist Program,40.720088,-73.9860332
15,University Neighborhood High School,"200 MONROE STREET, MANHATTAN, NY, 10002",School Mental Health Specialist Program,40.7123543,-73.9840589
16,East Side Community School,"420 East 12 Street, Manhattan, NY, 10009",School-based Mental Health Clinic,40.7290533,-73.98250279999999
17,Bard High School Early College,"525 EAST HOUSTON STREET, MANHATTAN, NY, 10002",School Mental Health Specialist Program,40.7180919,-73.97607459999999
18,Tompkins Square Middle School,"600 EAST 6 STREET, MANHATTAN, NY, 10009",School-based Health Center w/ Mental Health,40.7238456,-73.9817633
19,P.S. 011 William T. Harris,"320 WEST 21 STREET, MANHATTAN, NY, 10011",School-based Health Center w/ Mental Health,40.744296,-74.0006788
20,P.S. 041 Greenwich Village,"116 WEST 11 STREET, MANHATTAN, NY, 10011",School-based Mental Health Clinic,40.7355874,-73.9992096
21,J.H.S. 104 Simon Baruch,"330 EAST 21 STREET, MANHATTAN, NY, 10010",School Mental Health Specialist Program,40.7358068,-73.9805744
22,P.S. 111 Adolph S. Ochs,"440 WEST 53 STREET, MANHATTAN, NY, 10019",School-based Mental Health Clinic,40.7660107,-73.9897148
23,East Side Middle School,"331 EAST 91ST STREET, MANHATTAN, NY, 10128",School Mental Health Specialist Program,40.7804173,-73.9475088
24,P.S. 116 Mary Lindley Murray,"210 EAST 33 STREET, MANHATTAN, NY, 10016",School-based Mental Health Clinic,40.74449660000001,-73.9776384
25,P.S. 126 Jacob August Riis,"80 CATHERINE STREET, MANHATTAN, NY, 10038",School-based Mental Health Clinic,40.7105672,-73.9970098
26,M.S. 131,"100 HESTER STREET, MANHATTAN, NY, 10002",School Mental Health Specialist Program,40.7161943,-73.9933849
27,The Urban Assembly School for Emergency Management,"411 PEARL STREET, MANHATTAN, NY, 10038",School-based Health Center w/ Mental Health,40.7110316,-74.0013216
28,Yorkville Community School,"421 EAST 88 STREET, MANHATTAN, NY, 10128",School-based Mental Health Clinic,40.7779225,-73.9473251
29,J.H.S. 167 Robert F. Wagner,"220 EAST 76 STREET, MANHATTAN, NY, 10021",School Mental Health Specialist Program,40.7718269,-73.95794029999999
30,Yorkville East Middle School,"1458 YORK AVENUE, MANHATTAN, NY, 10075",School Mental Health Specialist Program,40.770261,-73.9509131
31,P.S./I.S. 217 Roosevelt Island,"645 MAIN STREET, MANHATTAN, NY, 10044",School Mental Health Specialist Program,40.764146,-73.9483885
32,Ella Baker School,"317 EAST 67 STREET, MANHATTAN, NY, 10065",School-based Health Center w/ Mental Health,40.7653683,-73.9596962
33,The Clinton School,"10 East 15th Street, MANHATTAN, NY, 10003",School Response Team,40.7361099,-73.9922772
34,Battery Park City School,"55 BATTERY PLACE, MANHATTAN, NY, 10280",School Mental Health Specialist Program,40.7058834,-74.0178135
35,Manhattan Early College School for Advertising,"411 PEARL STREET, MANHATTAN, NY, 10038",School-based Health Center w/ Mental Health,40.7110316,-74.0013216
36,Urban Assembly Maker Academy,"411 PEARL STREET, MANHATTAN, NY, 10038",School-based Health Center w/ Mental Health,40.7110316,-74.0013216
37,Food and Finance High School,"525 WEST 50TH STREET, MANHATTAN, NY, 10019",School-based Health Center w/ Mental Health,40.76563840000001,-73.9931036
38,I.S. 289,"201 WARREN STREET, MANHATTAN, NY, 10282",School Mental Health Specialist Program,40.7169119,-74.01359699999999
39,Essex Street Academy,"350 GRAND STREET, MANHATTAN, NY, 10002",School-based Health Center w/ Mental Health,40.7173452,-73.9892929
40,High School of Hospitality Management,"525 WEST 50TH STREET, MANHATTAN, NY, 10019",Prevention Intervention Program MH,40.76563840000001,-73.9931036
41,M.S. 297,"75 MORTON STREET, MANHATTAN, NY, 10014",School Mental Health Specialist Program,40.731204,-74.0074039
42,Pace High School,"100 HESTER STREET, MANHATTAN, NY, 10002",School Mental Health Specialist Program,40.7161943,-73.9933849
43,"Urban Assembly School of Design and Construction, The","525 WEST 50TH STREET, MANHATTAN, NY, 10019",School-based Health Center w/ Mental Health,40.76563840000001,-73.9931036
44,"Facing History School, The","525 WEST 50TH STREET, MANHATTAN, NY, 10019",School-based Health Center w/ Mental Health,40.76563840000001,-73.9931036
45,"Urban Assembly Academy of Government and Law, The","350 GRAND STREET, MANHATTAN, NY, 10002",School-based Health Center w/ Mental Health,40.7173452,-73.9892929
46,Lower Manhattan Arts Academy,"350 GRAND STREET, MANHATTAN, NY, 10002",School-based Health Center w/ Mental Health,40.7173452,-73.9892929
47,New York City Lab Middle School for Collaborative Studies,"333 WEST 17 STREET, MANHATTAN, NY, 10011",School Mental Health Specialist Program,40.74250989999999,-74.0022418
48,"James Baldwin School, The: A School for Expeditionary Learning","351 WEST 18 STREET, MANHATTAN, NY, 10011",School-based Health Center w/ Mental Health,40.7432281,-74.002426
49,"Urban Assembly School of Business for Young Women, the","26 BROADWAY, MANHATTAN, NY, 10004",School Mental Health Specialist Program,40.7052022,-74.0131655
50,The 47 American Sign Language & English Lower School,"223 EAST 23 STREET, MANHATTAN, NY, 10010",School Mental Health Specialist Program,40.7387769,-73.9814014
51,Gramercy Arts High School,"40 IRVING PLACE, MANHATTAN, NY, 10003",School-based Health Center w/ Mental Health,40.73518079999999,-73.9870892
52,Manhattan Business Academy,"351 WEST 18 STREET, MANHATTAN, NY, 10011",School-based Health Center w/ Mental Health,40.7432281,-74.002426
53,Spruce Street School,"12 SPRUCE STREET, MANHATTAN, NY, 10038",School Mental Health Specialist Program,40.7110565,-74.0053612
54,The High School For Language And Diplomacy,"40 IRVING PLACE, MANHATTAN, NY, 10003",School-based Health Center w/ Mental Health,40.73518079999999,-73.9870892
55,High School for Environmental Studies,"444 WEST 56 STREET, MANHATTAN, NY, 10019",School-based Mental Health Clinic,40.7677451,-73.98809920000001
56,Professional Performing Arts High School,"328 WEST 48 STREET, MANHATTAN, NY, 10036",School Mental Health Specialist Program,40.761226,-73.9886092
57,Baruch College Campus High School,"55 EAST 25 STREET, MANHATTAN, NY, 10010",School Mental Health Specialist Program,40.741968,-73.98589919999999
58,N.Y.C. Lab School for Collaborative Studies,"333 WEST 17 STREET, MANHATTAN, NY, 10011",School Mental Health Specialist Program,40.74250989999999,-74.0022418
59,School of the Future High School,"127 EAST 22 STREET, MANHATTAN, NY, 10010",School Mental Health Specialist Program,40.7391109,-73.9853486
60,N.Y.C. Museum School,"333 WEST 17 STREET, MANHATTAN, NY, 10011",School Mental Health Specialist Program,40.74250989999999,-74.0022418
61,Eleanor Roosevelt High School,"411 EAST 76 STREET, MANHATTAN, NY, 10021",School Mental Health Specialist Program,40.7702849,-73.9532948
62,Millennium High School,"75 BROAD STREET, MANHATTAN, NY, 10004",School Mental Health Specialist Program,40.70473,-74.0114523
63,Landmark High School,"351 WEST 18 STREET, MANHATTAN, NY, 10011",School-based Health Center w/ Mental Health,40.7432281,-74.002426
