,program_name,program_type_description,address,georeference,lat,lon
2,Montefiore Wakefield Mental Health Clinic,Clinic Treatment,"4401 Bronx Boulevard, Bronx, NY, 10466",POINT (-73.857351 40.900397),40.900397,-73.857351
6,Home Based Family Treatment Model,Home-Based Family Treatment,"101 Hamilton Ave, Auburn, NY, 13021",POINT (-76.55262 42.924503),42.924503,-76.55262
7,Mobile Crisis Outreach,Crisis  Intervention,"402 Chandler St., Jamestown, NY, 14701",POINT (-79.227105 42.098799),42.098799,-79.227105
8,Outreach - Chautauqua Co. Crisis Hotline,Advocacy/Support Services,"100 River Rock Drive Suite 300, Buffalo, NY, 14207-2163",POINT (-78.898101 42.946967),42.946967,-78.898101
10,PEER & REHAB SUP,Recovery Center,"160 Fairview Plaza, Hudson, NY, 12534",POINT (-73.767353 42.254905),42.254905,-73.767353
18,Compeer of Livingston County,Advocacy/Support Services,"1 Genesee Street, Avon, NY, 14414",POINT (-77.746156 42.911922),42.911922,-77.746156
19,Venture House,Respite Services,"345 Main Street, Oneida, NY, 13421",POINT (-75.648502 43.089516),43.089516,-75.648502
21,Unity ACT,Assertive Community Treatment (ACT),"81 Lake Avenue, Rochester, NY, 14608-1410",POINT (-77.624561 43.166199),43.166199,-77.624561
22,St. Mary's ACT Team,Assertive Community Treatment (ACT),"446b Guy Park Avenue, Amsterdam, NY, 12010-1005",POINT (-74.217626 42.95417),42.95417,-74.217626
23,CFTSS:  Other Licensed Practitioner,CFTSS: Other Licensed Practitioner (OLP),"525 Convent Road, Syosset, NY, 11791",POINT (-73.484835 40.821543),40.821543,-73.484835
26,Outreach (MICA),Outreach,"246 E. 121st Street, New York, NY, 10035",POINT (-73.935912 40.800388),40.800388,-73.935912
27,Service Program for Older People PROS,Comprehensive PROS with Clinical Treatment,"188 W 88th Street, New York, NY, 10024",POINT (-73.973781 40.788864),40.788864,-73.973781
30,Emergency Room,Crisis  Intervention,"621 Tenth Street, Niagara Falls, NY, 14302-0708",POINT (-79.050429 43.093433),43.093433,-79.050429
31,Transition Management Services,Transition Management Services,"6075 Judd Road, Oriskany, NY, 13424",POINT (-75.375518 43.156695),43.156695,-75.375518
36,Jawonio - HH NonMed CM,Health Home Non-Medicaid Care Management,"260 North Little Tor Road, New City, NY, 10956",POINT (-74.004877 41.163222),41.163222,-74.004877
37,Forensic Case Manager,Non-Medicaid Care Coordination,"600 W. Washington Street, Geneva, NY, 14456",POINT (-77.006768 42.859932),42.859932,-77.006768
38,Step-by-Step Inc.,Advocacy/Support Services,"1515 Knox Street, Ogdensburg, NY, 13669",POINT (-75.476104 44.701914),44.701914,-75.476104
39,Youth Peer Support and Training,CFTSS: Youth Peer Support (YPS),"25 West Steuben St, Bath, NY, 14810",POINT (-77.319845 42.333623),42.333623,-77.319845
40,TRANSITIONAL CASE MANAGEMENT,Transition Management Services,"80 Wheeler Road, Central Islip, NY, 11722",POINT (-73.207705 40.797239),40.797239,-73.207705
41,RECESS,Respite Services,"1444 Fifth Avenue, Bay Shore, NY, 11706",POINT (-73.263906 40.745565),40.745565,-73.263906
44,Crisis Intervention,Crisis  Intervention,"162 E. Broadway, Monticello, NY, 12701",POINT (-74.680536 41.653363),41.653363,-74.680536
46,Assisted Competitive Employment,Assisted Competitive Employment,"2 John Walsh Boulevard, Peekskill, NY, 10566-5332",POINT (-73.939148 41.277815),41.277815,-73.939148
47,Westchester Arts Council,Outreach,"31 Mamaroneck Avenue, White Plains, NY, 10601",POINT (-73.766233 41.031574),41.031574,-73.766233
48,Crisis Intervention,Crisis  Intervention,"1 Odell Plaza, Yonkers, NY, 10701",POINT (-73.882546 40.969388),40.969388,-73.882546
50,Advocacy and Support Services,Advocacy/Support Services,"417 Liberty Street, Penn Yan, NY, 14527",POINT (-77.058231 42.663932),42.663932,-77.058231
51,CFTSS: Children's Mental Health Rehabilitation Services,CFTSS: Children's Mental Health Rehabilitation Services,"1099 Jay Street, Rochester, NY, 14611-1100",POINT (-77.650727 43.159364),43.159364,-77.650727
52,Self Help Program,Self-Help Programs,"75 Jamestown Street, Gowanda, NY, 14070-1423",POINT (-78.936744 42.461004),42.461004,-78.936744
